Number of commune;Name of commune;Residents;Change in %;Population density per km²;Foreign nationals in %;0-19 years;20-64 years;65 years or over;Crude marriage rate;Crude divorce rate;Crude birth rate;Crude mortality rate;Private households;Size of households in persons;Total surface area in km2  1);Settlement and urban area in %;Change in ha;Agricultural area in %;Change in ha;Wooded area in %;Unproductive area in %;Employed total;Primary sector;Secondary sector;Tertiary sector;Business establishments total;Primary sector;Secondary sector;Tertiary sector;Dwelling vacancy rate;New housing units per 1000 residents;Social assistance rate
1145;Ufhusen;888;4.7169811321;72.7272727273;5.6306306306;21.9594594595;60.5855855856;17.454954955;3.3519553073;2.2346368715;14.5251396648;4.469273743;345;2.5391304348;12.21;5.4963084495;20;73.2567678425;-19;20.9187858901;0.3281378179;324;155;68;101;111;61;23;27;1.25;15.503875969;0.67
1146;Wauwil;2261;30.5427251732;763.8513513514;23.1755860239;20.4776647501;64.8385670057;14.6837682441;7.5421472937;3.1055900621;14.1969831411;0.8873114463;918;2.431372549;2.96;21.0884353741;10;68.7074829932;-8;10.2040816327;0;701;220;173;308;137;19;28;90;4.3604651163;11.4836931557;1.91
1147;Wikon;1520;11.3553113553;183.5748792271;18.3552631579;22.8289473684;59.2105263158;17.9605263158;4.5916693998;1.3119055428;8.5273860282;7.2154804854;620;2.4225806452;8.28;9.6501809409;16;38.35946924;-10;51.8697225573;0.1206272618;889;46;551;292;103;17;18;68;0.7225433526;6.5573770492;1.77
1150;Zell (LU);2097;6.7175572519;150.754852624;13.30472103;22.3175965665;59.7043395327;17.9780639008;5.3204353083;1.9347037485;8.7061668682;6.2877871826;842;2.4394299287;13.91;10.2951763859;30;67.3146148308;-30;21.5982721382;0.7919366451;1566;159;720;687;205;60;45;100;1.9916142558;0;2.99
1151;Willisau;8970;8.6877499091;189.9618805591;13.143812709;22.4080267559;58.4615384615;19.1304347826;3.9060320295;1.5624128118;9.597678701;7.2540594833;3692;2.3897616468;47.22;8.3015671326;93;62.1135112241;-77;28.7590004235;0.8259212198;5481;537;1365;3579;804;206;118;480;1.2192148257;4.679144385;2.41
1201;Altdorf (UR);9537;7.628935786;934.0842311459;16.2944322114;19.5239593163;59.7357659641;20.7402747195;5.0691730911;1.3729010455;9.7159150914;8.4486218186;4200;2.1892857143;10.21;24.5338567223;26;34.2492639843;-29;39.4504416094;1.766437684;6757;95;1787;4875;804;38;89;677;2.0408163265;12.8329558935;1.79
1202;Andermatt;1433;9.8926380368;23.0163829104;24.9825540823;13.8869504536;61.9678995115;24.1451500349;5.6677293659;0.7084661707;12.0439249026;10.6269925611;711;1.94092827;62.26;1.5436565364;17;40.3119472584;-82;6.0138285898;52.1305676154;1348;43;137;1168;166;18;18;130;0.3717472119;96.011816839;
1203;Attinghausen;1750;10.829639012;37.3213904884;6.8;24.8571428571;59.1428571429;16;4.0287769784;0.5755395683;7.4820143885;6.3309352518;685;2.5211678832;46.89;1.6631130064;18;34.3070362473;-37;18.5501066098;45.4797441365;412;104;110;198;101;35;17;49;0.7299270073;2.9222676797;
1205;Bürglen (UR);3995;0.6804435484;75.2921221259;5.8573216521;21.0012515645;59.774718398;19.2240300375;4.7666833919;1.5052684395;10.5368790768;6.7737079779;1592;2.4648241206;53.06;2.4482109228;40;53.4463276836;-62;20.3013182674;23.8041431262;2026;238;685;1103;292;100;57;135;2.175066313;3.5158211954;1.06
1206;Erstfeld;3845;2.6428190069;65.0702318497;21.1183355007;19.0117035111;57.6072821847;23.3810143043;4.4543429844;2.0961614044;9.4327263199;11.2668675488;1665;2.2576576577;59.09;3.7595258256;51;10.533446232;-61;30.9906858594;54.716342083;1407;102;440;865;220;35;39;146;1.4077163712;1.5868817773;2.93
1207;Flüelen;1961;0.5641025641;158.4006462036;13.1565527792;18.7149413565;60.8363080061;20.4487506374;5.0851767099;0.508517671;7.6277650648;8.1362827358;857;2.2567094516;12.38;6.7687348912;16;23.609991942;-11;58.1788879936;11.4423851732;993;41;292;660;131;13;22;96;2.2593320236;2.0253164557;1.17
1208;Göschenen;431;5.1219512195;4.1382621219;19.0255220418;13.6890951276;58.7006960557;27.6102088167;4.550625711;2.2753128555;9.1012514221;6.8259385666;202;2.0792079208;104.15;0.8258907135;-10;6.4726783828;-82;12.8781331029;79.8232978008;280;22;135;123;50;9;9;32;1.5923566879;0;
1209;Gurtnellen;528;-10.6598984772;6.3377745769;8.7121212121;17.6136363636;56.25;26.1363636364;5.6179775281;5.6179775281;7.4906367041;14.9812734082;233;2.2403433476;83.31;1.3187867162;5;11.5693561923;-143;28.8214842345;58.290372857;215;67;69;79;65;32;9;24;0.7317073171;0;1.67
1210;Hospental;180;1.6949152542;5.1194539249;12.2222222222;11.6666666667;62.2222222222;26.1111111111;5.4644808743;0;5.4644808743;5.4644808743;90;1.9888888889;35.16;1.366353544;6;30.4582977512;-93;10.902362653;57.2729860518;;15;;25;;4;;15;2.8901734104;0;
1211;Isenthal;474;-9.5419847328;7.774315237;1.0548523207;22.5738396624;59.4936708861;17.9324894515;2.0898641588;0;6.2695924765;6.2695924765;164;2.8841463415;60.97;0.7874015748;17;28.1003937008;-32;27.0669291339;44.0452755906;185;116;18;51;70;45;9;16;1.6666666667;0;
1212;Realp;150;4.1666666667;1.9260400616;14.6666666667;8.6666666667;55.3333333333;36;0;0;6.600660066;19.801980198;78;1.8846153846;77.88;0.796812749;17;38.748232875;-127;3.1101400848;57.3448142912;;;0;58;;;0;18;1.1627906977;0;
1213;Schattdorf;5413;9.7303871883;331.4758113901;9.7727692592;20.8387215962;58.2117125439;20.94956586;4.2447171726;1.4764233644;7.9357755836;7.9357755836;2210;2.4063348416;16.33;12.9527317373;45;32.2897483118;-35;41.006752609;13.7507673419;2891;106;1107;1678;276;39;50;187;0.7439310885;5.5741360089;1.31
1214;Seedorf (UR);2051;6.4901349948;106.3796680498;6.9722086787;25.7435397367;58.31301804;15.9434422233;3.9273441335;0.9818360334;10.8001963672;4.4182621502;792;2.5669191919;19.28;5.4404145078;29;16.2694300518;-31;48.5492227979;29.7409326425;703;37;350;316;117;16;30;71;0.4366812227;5.5780933063;
1215;Seelisberg;678;2.416918429;51.0158013544;15.9292035398;15.191740413;57.5221238938;27.2861356932;5.9746079164;0;4.4809559373;4.4809559373;301;2.0996677741;13.29;4.7040971168;14;32.7010622155;-18;51.5174506829;11.0773899848;262;65;48;149;76;29;13;34;1.9267822736;23.5640648012;
1216;Silenen;1957;-12.6339285714;13.5170603675;6.8983137455;18.8553909044;59.6831885539;21.4614205416;4.0962621608;1.0240655402;10.2406554019;11.2647209421;800;2.40375;144.78;0.8911917098;42;12.9257340242;-297;20.3177892919;65.8652849741;433;116;139;178;128;45;19;64;0.8348794063;4.0180813661;
1217;Sisikon;383;-2.5445292621;23.2685297691;24.0208877285;22.1932114883;62.1409921671;15.6657963446;5.3191489362;2.6595744681;18.6170212766;10.6382978723;165;2.2727272727;16.46;1.2773722628;2;33.7591240876;-4;46.6545012165;18.3090024331;92;27;11;54;31;9;5;17;7.5117370892;38.4615384615;
1218;Spiringen;830;-5.574516496;12.8324056895;1.3253012048;21.2048192771;58.7951807229;20;7.1471113758;0;10.7206670637;7.1471113758;317;2.5583596215;64.68;1.2662137122;22;37.8011117974;-97;18.9005558987;42.0321185917;311;163;42;106;109;65;10;34;0.4702194357;0;
1219;Unterschächen;702;0.1426533524;8.7443946188;0.8547008547;24.5014245014;58.4045584046;17.094017094;7.1479628306;0;11.4367405289;7.1479628306;266;2.6165413534;80.28;0.7853403141;19;38.681126901;-93;11.3562702568;49.177262528;196;111;15;70;70;39;10;21;0.3795066414;0;
1220;Wassen;405;-6.6820276498;4.1804293972;20.4938271605;17.2839506173;57.037037037;25.6790123457;7.4719800747;0;4.9813200498;12.4533001245;171;2.2573099415;96.88;1.1350737798;5;11.5364771437;-186;22.7943452688;64.5341038077;238;34;21;183;;14;;34;1.4662756598;0;
1301;Einsiedeln;16106;11.9638512339;162.8019811988;16.5528374519;19.9863404942;61.2815099963;18.7321495095;4.1280960721;1.5636727546;8.8816612459;7.8183637728;6944;2.2743375576;98.93;5.8787878788;140;47.0505050505;-196;44.1919191919;2.8787878788;6871;522;1902;4447;1334;202;247;885;1.5160852952;18.9710610932;1.59
1311;Gersau;2326;11.0792741165;162.0905923345;24.7205503009;15.5631986242;61.5649183147;22.871883061;3.8751345533;2.1528525296;6.8891280947;6.8891280947;1099;2.0746132848;14.35;6.6155988858;19;39.6935933148;-24;51.7409470752;1.9498607242;658;107;100;451;196;38;26;132;1.1620400258;7.0206230803;1.21
1321;Feusisberg;5350;12.0888330191;305.7142857143;25.6822429907;17.476635514;64.9719626168;17.5514018692;5.2765476303;2.6382738151;9.4224064826;3.3920663337;2348;2.2419080068;17.5;10.8061749571;59;47.512864494;-54;40.1943967982;1.4865637507;3725;159;789;2777;917;63;136;718;1.5521924719;9.1047040971;0.74
1322;Freienbach;16506;5.4898702627;1196.0869565217;29.1530352599;17.6905367745;62.9770992366;19.3323639889;5.8363984558;2.6750159589;11.1864303736;6.0187859075;7314;2.2203992343;13.8;33.2850940666;96;38.494934877;-88;23.516642547;4.7033285094;15135;136;2692;12307;2589;41;294;2254;0.355104629;4.3026615035;1.45
1323;Wollerau;7299;5.5378831695;1158.5714285714;25.291135772;16.865324017;62.5291135772;20.6055624058;4.9470935825;2.1987082589;7.8328981723;6.7335440429;3178;2.2690371303;6.3;30.612244898;65;53.0612244898;-59;14.1287284144;2.1978021978;4381;69;739;3573;1144;19;122;1003;3.406187908;14.36417406;1.52
1331;Küssnacht (SZ);13300;8.8023560209;452.8430371127;23.3383458647;18.962406015;61.962406015;19.0751879699;4.3203092432;1.8190775761;9.4743623754;6.4425664153;5854;2.2295866074;29.37;16.5987780041;123;55.7365919891;-114;26.5105227427;1.1541072641;6880;284;2683;3913;1120;105;185;830;1.2451960031;9.1086025691;1.53
1341;Altendorf;7059;16.9483101392;345.8598726115;21.4194645134;18.3170420739;64.9808754781;16.7020824479;5.0912176496;3.2527223872;10.8895488615;5.9397539245;3047;2.281260256;20.41;10.595703125;58;51.26953125;-42;37.548828125;0.5859375;4444;220;1039;3185;768;75;141;552;1.4046622833;1.4438348253;0.96
1342;Galgenen;5227;12.3602751505;393.8960060286;21.0445762388;20.8532619093;62.7128371915;16.4339008992;4.7901896915;2.1076834643;9.7719869707;6.1314428051;2211;2.3455450023;13.27;10.6656580938;29;50.3025718608;-18;37.9727685325;1.0590015129;1261;172;252;837;377;66;71;240;0.98928277;1.7205123303;1.48
1343;Innerthal;177;-11.0552763819;3.5301156761;3.3898305085;17.5141242938;59.8870056497;22.5988700565;0;5.7142857143;5.7142857143;0;79;2.2151898734;50.14;0.6375772066;2;33.492727635;-23;34.2697748555;31.5999203028;44;8;0;36;14;4;0;10;0.5235602094;0;
1344;Lachen;8883;13.1592356688;3655.5555555556;31.3295057976;18.2821118991;63.1093099178;18.608578183;4.6498440601;1.8145732917;11.0008505812;8.3924014743;4043;2.1711600297;2.43;66.25;21;24.1666666667;-21;5.8333333333;3.75;5302;6;1351;3945;;;99;746;1.0526315789;10.6765695718;1.97
1345;Reichenburg;3825;22.0485003191;331.1688311688;23.3202614379;21.7254901961;65.4117647059;12.862745098;4.2244224422;1.3201320132;12.9372937294;6.0726072607;1562;2.4244558259;11.55;8.9254766031;22;55.2859618718;-17;34.2287694974;1.5597920277;1424;112;701;611;262;30;63;169;3.7634408602;13.4874759152;0.99
1346;Schübelbach;9190;8.6673761381;316.7873147191;29.8150163221;20.4026115343;64.733405876;14.8639825898;4.989154013;1.9522776573;11.0629067245;5.6399132321;3902;2.331368529;29.01;7.0936639118;54;47.4173553719;-44;42.803030303;2.6859504132;2965;187;914;1864;617;69;140;408;1.1943040882;9.5996509218;2.11
1347;Tuggen;3293;10.5033557047;243.9259259259;17.1879744913;19.6477376253;64.8041299727;15.5481324021;6.3607451159;1.5144631228;9.6925639861;5.4520672422;1406;2.3243243243;13.5;13.7370753323;46;60.7828655835;-46;21.8611521418;3.6189069424;1469;117;501;851;261;43;51;167;1.9267822736;0.6029544769;1.51
1348;Vorderthal;992;-3.2195121951;35.4665713264;9.1733870968;16.4314516129;64.4153225806;19.1532258065;5.9790732436;3.9860488291;11.9581464873;6.9755854509;450;2.1911111111;27.97;2.0751341682;13;35.8497316637;-2;59.1413237925;2.9338103757;257;99;78;80;91;44;17;30;3.7102473498;2.9268292683;
1349;Wangen (SZ);5150;10.752688172;608.7470449173;15.3009708738;18.3106796117;63.4757281553;18.213592233;4.9000392003;1.3720109761;8.8200705606;7.4480595845;2223;2.264957265;8.46;25.7413997628;53;59.9051008304;-57;10.4389086595;3.9145907473;1827;103;602;1122;427;46;102;279;1.4539579968;4.1907802834;1.15
1361;Alpthal;621;10.3019538188;27.1416083916;10.305958132;18.1964573269;63.9291465378;17.8743961353;0;4.8504446241;3.2336297494;8.0840743735;268;2.2947761194;22.88;1.743679163;14;31.3862249346;-61;63.818657367;3.0514385353;191;55;30;106;57;22;9;26;2;0;0.97
1362;Arth;12154;13.5994018133;289.2432175155;29.0768471285;20.0016455488;63.3865394109;16.6118150403;4.2255271552;2.0713368408;8.8653216786;6.296863996;5105;2.3486777669;42.02;9.7380952381;73;40.6904761905;-56;44.5;5.0714285714;4136;284;1237;2615;768;105;140;523;0.9075342466;7.4092784373;1.74
1363;Illgau;797;1.0139416984;72.7189781022;3.2622333752;27.1016311167;59.8494353827;13.0489335006;6.2539086929;2.5015634772;12.5078173859;10.0062539087;294;2.6870748299;10.96;3.4608378871;9;62.1129326047;-5;31.7850637523;2.6411657559;188;64;47;77;56;23;10;23;1.6713091922;3.7641154329;
1364;Ingenbohl;8952;6.4320532636;668.0597014925;19.6604110813;17.7167113494;58.59025916;23.6930294906;3.9182759586;1.4553596418;6.4931430171;8.9560593339;3939;2.1627316578;13.4;18.0327868852;47;28.5394932936;-55;49.1058122206;4.3219076006;3427;73;550;2804;637;30;83;524;1.8687430478;1.9196025294;1.73
1365;Lauerz;1114;5.5924170616;121.2187159956;10.8617594255;23.7881508079;62.8366247756;13.3752244165;5.4200542005;2.7100271003;10.8401084011;7.2267389341;451;2.4700665188;9.19;4.2483660131;11;44.8801742919;-16;35.2941176471;15.5773420479;211;59;46;106;69;26;7;36;1.4953271028;21.2765957447;
1366;Morschach;1148;11.1326234269;55.0863723608;22.9965156794;22.8222996516;64.0243902439;13.1533101045;2.6007802341;2.6007802341;6.9354139575;10.4031209363;473;2.3530655391;20.84;4.0767386091;42;51.4148681055;-36;37.170263789;7.3381294964;821;78;42;701;127;34;21;72;0.7915567282;0.9066183137;0.6
1367;Muotathal;3486;-2.1061499579;20.2509585221;5.7659208262;22.7481353987;59.1508892714;18.1009753299;2.8518465707;0.2851846571;10.5518323114;7.1296164266;1397;2.4488188976;172.14;1.0048791822;35;33.2249070632;-54;23.4375;42.3327137546;1528;289;638;601;310;106;61;143;0.8998875141;7.1123755334;0.94
1368;Oberiberg;870;7.1428571429;26.2285197468;10.1149425287;15.8620689655;53.908045977;30.2298850575;3.3860045147;0;2.2573363431;14.6726862302;437;1.9702517162;33.17;2.1398432791;20;49.9397227245;-42;39.2103676914;8.710066305;432;82;57;293;111;31;13;67;2.1663778163;0;1
1369;Riemenstalden;86;-1.1494252874;7.6785714286;3.488372093;37.2093023256;39.5348837209;23.2558139535;0;0;0;0;31;2.7741935484;11.2;0.6244424621;1;50.9366636931;-2;26.9402319358;21.498661909;42;19;6;17;;8;;5;0;0;
1370;Rothenthurm;2460;14.7923471769;108.1318681319;16.3414634146;24.5528455285;62.6016260163;12.8455284553;6.1588996099;0.8211866147;9.4436460686;3.695339766;965;2.5336787565;22.75;4.2179261863;24;43.2337434095;-32;48.5500878735;3.9982425308;896;125;293;478;215;47;40;128;1.5138023152;5.4279749478;1.24
1371;Sattel;1925;8.0853453116;110.6958021852;12.7792207792;21.974025974;63.8441558442;14.1818181818;4.1418586591;3.1063939943;9.8369143153;6.2127879886;819;2.3223443223;17.39;6.6858789625;33;56.4265129683;-6;35.7925072046;1.0951008646;621;177;78;366;189;54;27;108;0.748362956;7.7081192189;0.77
1372;Schwyz;15239;5.657630174;286.5550959007;18.9513747621;19.3188529431;61.716648074;18.9644989829;4.7337278107;1.3806706114;9.6646942801;7.4950690335;6568;2.2704019488;53.18;9.3049538519;85;47.4100583914;-51;37.7095498211;5.5754379356;12785;452;3077;9256;1387;153;186;1048;0.4295302013;6.1333333333;1.75
1373;Steinen;3608;13.3878064111;304.4725738397;9.1463414634;22.256097561;61.8625277162;15.8813747228;3.4163701068;1.4234875445;12.8113879004;7.6868327402;1474;2.4240162822;11.85;11.3271344041;35;52.0710059172;-30;21.3017751479;15.3000845309;1265;149;414;702;258;53;53;152;0.7907542579;11.6244411326;0.61
1374;Steinerberg;939;8.6805555556;135.6936416185;9.6911608094;21.0862619808;61.9808306709;16.9329073482;4.2440318302;2.1220159151;6.3660477454;13.7931034483;379;2.437994723;6.92;6.1781609195;13;64.224137931;12;29.0229885057;0.5747126437;358;98;50;210;89;36;14;39;0.2369668246;0;
1375;Unteriberg;2398;4.0347071584;51.647641611;10.0083402836;18.7656380317;64.4703919933;16.763969975;2.0863759649;1.251825579;8.3455038598;11.2664302107;1072;2.2126865672;46.43;3.8287803829;75;42.4607442461;-99;36.0507636051;17.659711766;886;145;261;480;251;54;61;136;2.2906227631;4.1442188148;0.67
1401;Alpnach;6053;8.7104885057;112.5511342507;15.29819924;20.6178754337;63.4230959855;15.9590285809;4.9652432969;1.9860973188;11.4200595829;6.1238000662;2541;2.3565525384;53.78;5.2758684748;51;31.766672859;-88;54.189113877;8.7683447892;3160;189;1130;1841;531;74;86;371;0.6000705965;2.9880478088;1.06
1402;Engelberg;4186;7.2508326928;55.9102444237;25.441949355;16.220735786;61.0367892977;22.7424749164;4.7806860284;1.4342058085;7.4100633441;7.6490976455;1984;2.0680443548;74.87;3.6586994258;62;27.0930698358;-104;25.7577780745;43.4904526639;2579;161;270;2148;499;57;54;388;0.4559270517;0.4813477738;1.82
1403;Giswil;3657;1.2178245226;42.5678035153;11.3480995351;20.3171998906;62.1000820345;17.5827180749;5.1948051948;1.0936431989;8.4757347915;7.6555023923;1519;2.3785385122;85.91;2.6309662398;56;35.4249126892;-136;53.2596041909;8.6845168801;1373;288;408;677;346;103;71;172;1.3265306122;1.6433853739;0.85
1404;Kerns;6295;12.4107142857;67.9952473536;10.2938840349;22.954725973;60.8895949166;16.1556791104;5.2248258391;0.9499683344;9.4996833439;8.0747308423;2554;2.4205168363;92.58;3.1860892105;90;45.2424667891;-123;29.139215898;22.4322281024;2518;368;788;1362;499;143;89;267;0.249298847;7.7839555203;0.85
1405;Lungern;2111;1.4903846154;45.4271573058;10.7531975367;19.9431549029;57.6504026528;22.4064424443;4.2543134011;2.363507445;6.6178208461;9.4540297802;926;2.247300216;46.47;3.6136803614;45;40.4388040439;-57;41.3207141321;14.6268014627;1158;126;680;352;172;51;39;82;2.2945965951;3.7700282752;1.27
1406;Sachseln;5170;6.5979381443;95.9361662646;13.0174081238;21.0058027079;59.6711798839;19.3230174081;4.2652190772;0.7754943777;7.7549437767;6.2039550213;2135;2.3943793911;53.89;3.6390642406;65;44.2443371704;-146;41.0137393242;11.1028592648;3257;202;2010;1045;388;73;58;257;3.5236938032;7.8554595444;0.8
1407;Sarnen;10458;4.8841640758;143.0251641138;15.442723274;18.8181296615;59.4568751195;21.724995219;5.3778930183;1.6325746663;9.7954479977;7.586670508;4533;2.2728877123;73.12;5.9466848941;109;38.961038961;-164;50.8133971292;4.2788790157;8513;375;2041;6097;1235;141;146;948;0.188253012;8.0109417741;1.13
1501;Beckenried;3697;11.4897466828;152.4536082474;12.6589126319;19.9621314579;60.6708141737;19.3670543684;4.6139231917;1.6284434794;8.9564391369;5.699552178;1608;2.2686567164;24.25;6.0156571899;24;48.7433044911;-22;37.3300370828;7.9110012361;1144;142;250;752;279;43;54;182;3.3906882591;0;0.98
1502;Buochs;5285;-0.6205340354;530.6224899598;14.8155156102;18.9593188269;61.4569536424;19.5837275307;3.9637599094;1.8875047188;10.7587768969;6.2287655719;2264;2.3038869258;9.96;17.8427419355;29;46.9758064516;-25;33.5685483871;1.6129032258;2024;117;521;1386;401;41;73;287;1.6116653876;1.2941393973;1.05
1503;Dallenwil;1832;2.2892238973;118.4227537169;9.0611353712;20.0327510917;62.1179039301;17.8493449782;4.3501903208;3.2626427406;4.3501903208;5.437737901;757;2.3976221929;15.47;4.6391752577;17;53.7371134021;-22;37.6932989691;3.9304123711;782;113;258;411;164;39;26;99;0.7121057986;3.3076074972;0.33
1504;Emmetten;1440;15.569823435;57.7849117175;16.4583333333;15.9722222222;63.4027777778;20.625;5.5768560474;2.0913210178;12.5479261067;4.8797490415;693;2.0606060606;24.92;2.754491018;14;36.4471057884;-36;47.7844311377;13.0139720559;374;54;60;260;131;25;23;83;2.329594478;0.7137758744;0.77
1505;Ennetbürgen;4779;10.2930994692;512.7682403433;16.3423310316;16.907302783;59.4685080561;23.6241891609;4.5929018789;1.2526096033;9.1858037578;7.51565762;2227;2.1167489897;9.32;15.9574468085;35;49.2553191489;-34;33.829787234;0.9574468085;1776;91;430;1255;322;35;47;240;0.9571369122;9.1528309919;0.94
1506;Ennetmoos;2199;5.7211538462;156.289978678;9.8681218736;21.4188267394;62.8922237381;15.6889495225;7.7413479053;2.276867031;8.6520947177;7.7413479053;902;2.4268292683;14.07;6.6713981547;17;48.0482611781;-7;43.3640880057;1.9162526615;687;150;258;279;160;58;30;72;2.1674876847;8.8495575221;0.68
1507;Hergiswil (NW);5776;5.6327724945;403.9160839161;20.8448753463;14.629501385;62.5346260388;22.8358725762;5.3665714533;2.4236129144;8.8288756167;8.6557604086;2725;2.0851376147;14.3;10.5263157895;25;28.7719298246;-21;45.8947368421;14.8070175439;3042;53;476;2513;783;21;76;686;2.1416803954;3.4995625547;1.19
1508;Oberdorf (NW);3114;1.7314603071;192.2222222222;7.3538856776;20.9377007065;59.8908156712;19.1714836224;3.2061558192;2.2443090734;8.3360051298;6.0916960564;1292;2.3808049536;16.2;7.4534161491;32;52.9813664596;-30;37.5155279503;2.049689441;1368;157;610;601;188;56;39;93;1.9928825623;2.2342802426;0.42
1509;Stans;8254;3.6804421555;744.9458483755;14.4899442694;18.233583717;61.4126484129;20.3537678701;3.8445365531;2.2826935784;7.2085060371;9.4911996155;3595;2.2344923505;11.08;20.9386281588;69;40.0722021661;-69;36.7328519856;2.2563176895;10176;88;3471;6617;1030;30;128;872;1.1776753712;3.5667578171;1.16
1510;Stansstad;4624;4.0269966254;509.8125689085;19.2257785467;14.7058823529;59.5155709343;25.7785467128;3.6940460669;2.1729682747;9.778357236;10.2129508909;2210;2.0642533937;9.07;15.6043956044;20;32.7472527473;-17;49.7802197802;1.8681318681;2238;54;485;1699;415;23;56;336;1.0701545779;3.7828215398;0.66
1511;Wolfenschiessen;2087;4.0897755611;22.5134843581;9.4873023479;23.9578342118;58.2654528031;17.7767129851;1.9120458891;1.4340344168;10.9942638623;8.1261950287;839;2.4553039333;92.7;1.3601036269;40;39.6804835924;-82;33.6679620035;25.2914507772;814;201;181;432;207;81;28;98;3.8775510204;0.4777830865;1.38
1630;Glarus Nord;18626;12.0832831869;126.7161031363;25.4321915602;20.1331472136;61.6879630624;18.178889724;4.5272036433;1.724649007;10.5634751677;9.1083025681;8124;2.2596011817;146.99;5.9563473176;132;37.2339702183;-211;40.5181206228;16.2915618413;8749;434;3399;4916;1346;157;281;908;1.7212774782;10.6866882227;1.72
1631;Glarus Süd;9453;-3.7372708758;21.9821872893;17.4547762615;16.1959166402;58.1508515815;25.6532317783;4.2223043226;1.3722489048;8.4446086452;11.8224521032;4374;2.10608139;430.03;1.6021020323;117;28.8145840115;-571;26.9985583407;42.5847556155;4820;456;2098;2266;811;173;160;478;1.4716596241;3.131197161;2.13
1632;Glarus;12511;2.8019720624;120.669367284;27.4798177604;20.0623451363;60.3468947326;19.5907601311;4.0101054658;1.0426274211;10.9876889762;10.8272847576;5566;2.2026590011;103.68;4.141726202;42;26.3081675999;-60;34.3502606681;35.19984553;8434;152;2449;5833;1160;56;186;918;2.3602862799;3.3543646674;2.35
1701;Baar;24617;12.989397347;990.6237424547;30.2920745826;20.1364910428;63.0946094163;16.768899541;4.8894774371;1.8742996842;11.6125089131;6.6007945401;10719;2.272600056;24.85;22.0427937021;114;52.4020993137;-113;24.8284214776;0.7266855067;25596;230;4488;20878;3674;74;436;3164;0.5309426408;2.2202121536;2.06
1702;Cham;16893;14.0802269044;952.7918781726;25.797667673;21.2336470728;63.0024270408;15.7639258865;4.7596382675;1.7848643503;11.6611137554;5.711565921;7036;2.3617111995;17.73;24.8310810811;104;60.6418918919;-101;12.5;2.027027027;10256;171;2107;7978;1876;59;215;1602;0.7260016133;5.1897893911;1.93
1703;Hünenberg;8784;2.3656916443;477.1319934818;17.3838797814;21.9945355191;59.9499089253;18.0555555556;3.7517053206;2.5011368804;8.4129149613;4.5475216007;3481;2.5081873025;18.41;14.347826087;70;60.1086956522;-77;16.6304347826;8.9130434783;7089;295;1241;5553;1206;57;163;986;0.598476605;0.6799637353;1.03
1704;Menzingen;4551;3.4083162918;165.4307524537;19.951658976;19.5341683147;60.3383871677;20.1274445177;4.1804180418;2.200220022;11.00110011;7.2607260726;1789;2.405254332;27.51;7.5018208303;20;62.7458120903;-17;28.2592862345;1.4930808449;1853;271;186;1396;388;96;46;246;0.7038712921;6.4458768615;1.96
1705;Neuheim;2237;15.3687467767;282.0933165195;23.8712561466;22.6642825212;61.2427358069;16.0929816719;3.1152647975;3.1152647975;10.235870049;7.1206052514;890;2.5078651685;7.93;13.9974779319;7;66.8348045397;-7;17.7805800757;1.3871374527;1023;70;333;620;243;28;37;178;0.310237849;8.4632516704;1.11
1706;Oberägeri;6244;14.5477893964;207.8561917443;27.930813581;20.932094811;60.602178091;18.465727098;5.1926977688;0.8113590264;7.6267748479;7.7890466531;2662;2.3148009016;30.04;6.7599067599;39;45.4545454545;-29;45.8541458541;1.9314019314;1851;221;359;1271;527;76;58;393;1.7502524403;7.9220993563;1.51
1707;Risch;10990;20.9686296092;739.5693135935;26.669699727;20.5186533212;66.5150136488;12.96633303;7.2304594545;1.4643968515;11.989749222;4.2101409482;4601;2.3694848946;14.86;28.8798920378;176;54.5883940621;-181;14.6423751687;1.8893387314;13035;137;5064;7834;1127;44;120;963;0.426742532;12.5534950071;1.72
1708;Steinhausen;10129;11.4178858211;2009.7222222222;25.0962582683;20.7522953895;61.664527594;17.5831770165;4.0684693624;1.8853882411;11.2130984867;5.2592408832;4236;2.3557601511;5.04;37.6984126984;44;46.0317460317;-48;15.4761904762;0.7936507937;9270;54;1733;7483;1125;22;150;953;0.4752206382;5.3670886076;1.75
1709;Unterägeri;8868;9.9157164105;346.1358313817;25.6878664862;21.4704555706;59.2692828146;19.2602616148;3.8340099233;2.2552999549;9.1339648173;6.0893098782;3830;2.2848563969;25.62;7.9532163743;46;36.530214425;-27;53.7621832359;1.7543859649;3362;148;742;2472;685;52;93;540;0.9002606018;13.9256531246;1.26
1710;Walchwil;3711;4.0370058873;274.0768094535;36.3244408515;18.8358932902;59.6874157909;21.4766909189;4.0683482506;1.3561160835;8.4079197179;6.7805804177;1607;2.278780336;13.54;9.4074074074;25;42.3703703704;-5;44.1481481481;4.0740740741;1082;123;269;690;314;42;35;237;1.1830985915;5.5294442908;0.93
1711;Zug;30618;16.2988566871;1415.5339805825;34.424194918;18.8189953622;63.0250179633;18.1559866745;5.2648790059;2.0928711576;9.7449313277;7.1288423806;14098;2.1254787913;21.63;26.5653775322;68;33.0110497238;-59;37.7992633517;2.6243093923;41375;146;6293;34936;7035;35;342;6658;0.7079301163;6.4227776858;1.53
